"Date Of Stop","Month Of Stop","Year Of Stop","Time Of Stop","Time Period","Description","Belts","Personal Injury","Commercial License","Commercial Vehicle","Vehicle Type","Year","Make","Model","Color","Race","Gender"
"02/24/2014","02","2014","09:45:00","09-10","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","02 - Automobile","2011","HONDA","ACCORD 4S","GRAY","BLACK","M"
"02/26/2013","02","2013","07:55:00","07-08","EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE","No","No","No","No","05 - Light Duty Truck","2011","FORD","ESCAPE","BLUE","WHITE","M"
"09/09/2015","09","2015","20:45:00","20-21","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE","No","No","No","No","02 - Automobile","2011","LEXUS","RX350","WHITE","ASIAN","F"
"09/09/2015","09","2015","20:45:00","20-21","DISPLAY SUSPENDED LIC.","No","No","No","No","02 - Automobile","2011","LEXUS","RX350","WHITE","ASIAN","F"
"09/09/2015","09","2015","20:45:00","20-21","POSSESSING SUSPENDED LIC.","No","No","No","No","02 - Automobile","2011","LEXUS","RX350","WHITE","ASIAN","F"
"09/09/2015","09","2015","20:45:00","20-21","DRIVING UNINSURED VEHICLE","No","No","No","No","02 - Automobile","2011","LEXUS","RX350","WHITE","ASIAN","F"
"01/04/2014","01","2014","22:28:00","22-23","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","02 - Automobile","2011","HONDA","ACCORD","GRAY","BLACK","M"
"09/14/2014","09","2014","06:16:00","06-07","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL","No","No","No","No","02 - Automobile","2011","CHEV","TK","SILVER","BLACK","M"
"09/14/2014","09","2014","06:16:00","06-07","DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE","No","No","No","No","02 - Automobile","2011","CHEV","TK","SILVER","BLACK","M"
"09/14/2014","09","2014","06:16:00","06-07","DRIVING WHILE IMPAIRED BY ALCOHOL","No","No","No","No","02 - Automobile","2011","CHEV","TK","SILVER","BLACK","M"
"09/14/2014","09","2014","06:16:00","06-07","FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY  POLICE VEH.","No","No","No","No","02 - Automobile","2011","CHEV","TK","SILVER","BLACK","M"
"02/01/2014","02","2014","17:08:00","17-18","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","NISSAN","ROGUE","SILVER","WHITE","F"
"12/27/2013","12","2013","19:27:00","19-20","DRIVER USE OF MOTOR VEH. HORN ON HWY. WHEN NOT REASONABLY NECESSARY FOR SAFETY","No","No","No","No","02 - Automobile","2011","HONDA","4D","GRAY","BLACK","M"
"05/12/2013","05","2013","14:49:00","14-15","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2011","DODGE","CARAVAN","BLACK","WHITE","M"
"05/12/2013","05","2013","14:49:00","14-15","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2011","DODGE","CARAVAN","BLACK","WHITE","M"
"12/01/2013","12","2013","06:04:00","06-07","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL","No","No","No","No","02 - Automobile","2011","SCION","TC","SILVER","HISPANIC","M"
"12/01/2013","12","2013","06:04:00","06-07","DRIVING WHILE IMPAIRED BY ALCOHOL","No","No","No","No","02 - Automobile","2011","SCION","TC","SILVER","HISPANIC","M"
"12/01/2013","12","2013","06:04:00","06-07","DRIVING LOW SPEED VEH. ON HIWAY W/POSTED MAX. SPEED LIMIT EXCEEDS 30 MPH","No","No","No","No","02 - Automobile","2011","SCION","TC","SILVER","HISPANIC","M"
"12/01/2013","12","2013","06:04:00","06-07","WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT","No","No","No","No","02 - Automobile","2011","SCION","TC","SILVER","HISPANIC","M"
"03/21/2013","03","2013","04:11:00","04-05","RT. TURN FROM IMPROPER ROAD POSITION","Yes","Yes","No","No","03 - Station Wagon","2011","MITSU","OUTLANDER","BLACK","OTHER","F"
"09/30/2014","09","2014","07:42:00","07-08","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","TOYT","SIENNA","BLACK","WHITE","F"
"02/18/2014","02","2014","23:48:00","23-24","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","No","No","No","No","02 - Automobile","2011","HYUN","SONATA","BLACK","BLACK","F"
"02/18/2014","02","2014","23:48:00","23-24","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","02 - Automobile","2011","HYUN","SONATA","BLACK","BLACK","F"
"06/21/2013","06","2013","20:13:00","20-21","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 80/55","No","No","No","No","02 - Automobile","2011","MAZD","3 2.5 4D","RED","WHITE","M"
"08/27/2015","08","2015","22:39:00","22-23","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","No","No","No","No","02 - Automobile","2011","CHEV","IMPALA","BLACK","WHITE","M"
"08/27/2015","08","2015","22:39:00","22-23","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE","No","No","No","No","02 - Automobile","2011","CHEV","IMPALA","BLACK","WHITE","M"
"08/27/2015","08","2015","22:39:00","22-23","DRIVING  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","No","No","02 - Automobile","2011","CHEV","IMPALA","BLACK","WHITE","M"
"08/27/2015","08","2015","22:39:00","22-23","DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT","No","No","No","No","02 - Automobile","2011","CHEV","IMPALA","BLACK","WHITE","M"
"08/27/2015","08","2015","22:39:00","22-23","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103","No","No","No","No","02 - Automobile","2011","CHEV","IMPALA","BLACK","WHITE","M"
"08/27/2015","08","2015","22:39:00","22-23","DISPLAY  SUSPENDED LIC.","No","No","No","No","02 - Automobile","2011","CHEV","IMPALA","BLACK","WHITE","M"
"03/16/2016","03","2016","23:57:00","23-24","EXCEEDING MAXIMUM SPEED: 65 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"03/16/2016","03","2016","23:57:00","23-24","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"03/16/2016","03","2016","23:57:00","23-24","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"03/16/2016","03","2016","23:57:00","23-24","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"03/16/2016","03","2016","23:57:00","23-24","UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"03/16/2016","03","2016","23:57:00","23-24","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"03/16/2016","03","2016","23:57:00","23-24","VEH. DRIVER GIVING FALSE AND FICTITIOUS NAME TO UNIFORMED POLICE","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"03/16/2016","03","2016","23:57:00","23-24","DISPLAY FICTITIOUS LIC.","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"03/16/2016","03","2016","23:57:00","23-24","POSSESSING FICTITIOUS LIC.","No","No","No","No","02 - Automobile","2011","MERCEDEZ","SPRINTER","WHITE","ASIAN","M"
"04/23/2015","04","2015","14:33:00","14-15","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2011","TOYT","4S","SILVER","WHITE","M"
"02/15/2012","02","2012","21:49:00","21-22","EXCEEDING MAXIMUM SPEED: 48 MPH IN A POSTED 25 MPH ZONE","No","No","No","No","02 - Automobile","2011","NISS","SENTRA","BLUE","WHITE","M"
"06/02/2015","06","2015","23:13:00","23-24","EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE","No","No","No","No","02 - Automobile","2011","HYUN","SONATA","BLACK","WHITE","M"
"11/15/2013","11","2013","11:27:00","11-12","EXCEEDING MAXIMUM SPEED: 82 MPH IN A POSTED 55 MPH ZONE","No","No","Yes","No","05 - Light Duty Truck","2011","GMC","SIERRA","WHITE","WHITE","M"
"10/25/2012","10","2012","12:18:00","12-13","DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL","No","No","No","Yes","28 - Other","2011","HINO","268","WHITE","ASIAN","M"
"01/25/2012","01","2012","13:01:00","13-14","EXCEEDING MAXIMUM SPEED: 45 MPH IN A POSTED 30 MPH ZONE","No","No","No","No","02 - Automobile","2011","MINI","2S","RED","BLACK","M"
"08/06/2013","08","2013","07:03:00","07-08","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE","No","No","Yes","No","05 - Light Duty Truck","2011","FORD","TRUCK","BLUE, DARK","BLACK","F"
"08/06/2013","08","2013","07:03:00","07-08","PERSON DRIVING MOTOR VEH. ON HWY., PUBLIC USE PROPERTY ON SUSPENDED LIC. AND PRIVILEGE","No","No","Yes","No","05 - Light Duty Truck","2011","FORD","TRUCK","BLUE, DARK","BLACK","F"
"08/06/2013","08","2013","07:03:00","07-08","DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103","No","No","Yes","No","05 - Light Duty Truck","2011","FORD","TRUCK","BLUE, DARK","BLACK","F"
"08/06/2013","08","2013","07:03:00","07-08","PERSON DRIVING MOTOR VEH. ON HWY., PUBLIC USE PROPERTY ON REVOKED LIC. AND PRIVILEGE","No","No","Yes","No","05 - Light Duty Truck","2011","FORD","TRUCK","BLUE, DARK","BLACK","F"
"08/06/2013","08","2013","07:03:00","07-08","DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","Yes","No","05 - Light Duty Truck","2011","FORD","TRUCK","BLUE, DARK","BLACK","F"
"07/06/2012","07","2012","17:30:00","17-18","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","28 - Other","2011","TOYOTA","SUV","BLACK","BLACK","M"
"04/23/2014","04","2014","12:51:00","12-13","AGGRESSIVE DRIVING","No","No","No","No","02 - Automobile","2011","HYUNDAI","GENESIS","BLUE","WHITE","F"
"02/07/2014","02","2014","08:04:00","08-09","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","08 - Recreational Vehicle","2011","CHEV","SU","BLACK","WHITE","M"
"05/17/2012","05","2012","12:03:00","12-13","OPERATOR NOT RESTRAINED BY SEATBELT","No","No","No","No","02 - Automobile","2011","MAZADA","4S","GRAY","WHITE","M"
"10/17/2016","10","2016","23:09:00","23-24","FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH","No","No","No","No","02 - Automobile","2011","NISS","ALTIMA","BLACK","BLACK","M"
"11/04/2016","11","2016","16:25:00","16-17","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","MERC","GLK350","GREEN","WHITE","F"
"04/21/2016","04","2016","09:10:00","09-10","EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE","No","No","No","No","02 - Automobile","2011","CHEV","IMPALA","BLUE","WHITE","M"
"03/27/2016","03","2016","00:55:00","00-01","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2011","DODGE","CHARGER","BLACK","BLACK","M"
"03/27/2016","03","2016","00:55:00","00-01","DRIVER FAILING TO MAKE LEFT TURN FROM LEFT TURN LANE","No","No","No","No","02 - Automobile","2011","DODGE","CHARGER","BLACK","BLACK","M"
"06/23/2016","06","2016","18:13:00","18-19","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION","No","No","No","No","02 - Automobile","2011","MERCEDES","C300","BLACK","HISPANIC","M"
"06/23/2016","06","2016","18:13:00","18-19","KNOWINGLY DRIVING UNINSURED VEHICLE","No","No","No","No","02 - Automobile","2011","MERCEDES","C300","BLACK","HISPANIC","M"
"05/05/2016","05","2016","01:44:00","01-02","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2011","NISSAN","ALTIMA","BLACK","WHITE","F"
"08/17/2016","08","2016","08:15:00","08-09","EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE","No","No","No","No","02 - Automobile","2011","TOYT","RAV 4","GREEN, DK","BLACK","M"
"05/12/2016","05","2016","13:13:00","13-14","VEH. HWY. OPERATION WITH INADEQUATE REAR RED LIGHT REFLECTOR","No","No","No","No","02 - Automobile","2011","TOYTA","CAMRY","SILVER","BLACK","M"
"06/09/2016","06","2016","10:18:00","10-11","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2011","HONDA","CRV","WHITE","WHITE","M"
"04/04/2015","04","2015","22:16:00","22-23","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","No","No","No","No","02 - Automobile","2011","HYUNDAI","EQUIS","BLACK","ASIAN","M"
"05/28/2016","05","2016","16:15:00","16-17","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","SUBARU","OUTBACK","GRAY","WHITE","M"
"05/25/2016","05","2016","16:49:00","16-17","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","No","No","No","No","05 - Light Duty Truck","2011","HOND","TK","SILVER","WHITE","F"
"04/09/2016","04","2016","17:54:00","17-18","DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION","No","No","No","No","02 - Automobile","2011","JEEP","LIBERTY","WHITE","WHITE","F"
"05/28/2016","05","2016","05:23:00","05-06","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING","No","No","No","No","05 - Light Duty Truck","2011","VOLV","TK","BLUE","ASIAN","F"
"02/18/2014","02","2014","13:42:00","13-14","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","No","No","No","No","02 - Automobile","2011","CHEVROLET","IMPALA","SILVER","WHITE","M"
"06/27/2016","06","2016","01:11:00","01-02","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2011","MERZ","C350","BLUE, LIGHT","WHITE","M"
"09/10/2016","09","2016","03:56:00","03-04","FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED","No","No","No","No","02 - Automobile","2011","NISSAN","ROGUE","GRAY","BLACK","F"
"06/04/2016","06","2016","23:01:00","23-24","FAILURE TO DRIVE RIGHT OF CENTER","Yes","No","No","No","02 - Automobile","2011","CHEVROLET","EQUINOX","GRAY","WHITE","F"
"06/04/2016","06","2016","23:01:00","23-24","DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS","Yes","No","No","No","02 - Automobile","2011","CHEVROLET","EQUINOX","GRAY","WHITE","F"
"05/28/2016","05","2016","12:26:00","12-13","EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH","No","No","No","No","02 - Automobile","2011","CHEVROLET","MALIBU","BLUE","BLACK","M"
"03/25/2016","03","2016","21:15:00","21-22","MAKING VEHICULAR TURN ON AUTHORITY HIGHWAY WHERE PROHIBITED BY SIGNS","No","No","No","No","02 - Automobile","2011","HONDA","CRV","SILVER","ASIAN","M"
"08/24/2016","08","2016","22:50:00","22-23","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2011","MERZ","R350","BLACK","BLACK","M"
"03/03/2015","03","2015","08:04:00","08-09","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE","Yes","No","No","No","02 - Automobile","2011","FORD","TRUCK","GRAY","BLACK","M"
"08/11/2012","08","2012","13:55:00","13-14","EXCEEDING MAXIMUM SPEED: 77 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2011","DODGE","2 DOOR","ORANGE","BLACK","M"
"08/16/2012","08","2012","10:18:00","10-11","EXCEEDING MAXIMUM SPEED: 77 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","05 - Light Duty Truck","2011","CHEV","PU","WHITE","WHITE","M"
"08/06/2015","08","2015","07:26:00","07-08","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","05 - Light Duty Truck","2011","HONDA","TK","SILVER","WHITE","M"
"11/03/2015","11","2015","12:38:00","12-13","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","No","No","No","No","02 - Automobile","2011","SUBAR","OUTBACK","WHITE","WHITE","F"
"11/03/2015","11","2015","12:38:00","12-13","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","No","No","No","No","02 - Automobile","2011","SUBAR","OUTBACK","WHITE","WHITE","F"
"11/03/2015","11","2015","12:38:00","12-13","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","No","No","02 - Automobile","2011","SUBAR","OUTBACK","WHITE","WHITE","F"
"09/28/2013","09","2013","13:14:00","13-14","EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE","No","No","No","No","02 - Automobile","2011","SUBARU","4 DOOR","BLUE","WHITE","F"
"02/03/2015","02","2015","15:21:00","15-16","FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM  COVERS","No","No","No","No","02 - Automobile","2011","PORS","CAYANNE","WHITE","WHITE","M"
"04/18/2014","04","2014","14:09:00","14-15","DRIVER PASSING VEH. STOPPED FOR PEDESTRIAN AT CROSSWALK","No","No","No","No","02 - Automobile","2011","LINCOLN","4 DOOR","BLACK","WHITE","M"
"08/13/2015","08","2015","15:18:00","15-16","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","28 - Other","2011","CHEVY","PU","GRAY","WHITE","M"
"02/26/2016","02","2016","08:12:00","08-09","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","05 - Light Duty Truck","2011","DODGE","TK","BLACK","WHITE","M"
"06/13/2013","06","2013","17:42:00","17-18","55","No","No","No","No","02 - Automobile","2011","DODGE","CHARGER","BRONZE","BLACK","M"
"03/13/2012","03","2012","13:15:00","13-14","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","No","No","No","No","02 - Automobile","2011","TOY","4S","GRAY","WHITE","M"
"05/22/2012","05","2012","22:35:00","22-23","DRIVER FAILURE TO REDUCE LIGHT DISTRIBUTION WHEN WITHIN 300 FEET OF APPROACHING VEH. FROM REAR","No","No","No","No","02 - Automobile","2011","NISSAN","ALTIMA 4D","GOLD","BLACK","F"
"08/27/2012","08","2012","11:15:00","11-12","EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH","No","No","No","No","02 - Automobile","2011","TOYOTA","CAMRY","GRAY","WHITE","M"
"10/22/2013","10","2013","15:48:00","15-16","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","BMW","4DR","BLACK","ASIAN","F"
"08/21/2014","08","2014","20:41:00","20-21","EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH","No","No","No","No","02 - Automobile","2011","HONDA","CIVIC","BLUE","WHITE","F"
"01/10/2016","01","2016","19:04:00","19-20","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","No","No","No","No","02 - Automobile","2011","HONDA","ACCORD","BLACK","ASIAN","M"
"11/16/2014","11","2014","08:16:00","08-09","EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH","No","No","No","No","02 - Automobile","2011","HONDA","PILOT","GRAY","OTHER","M"
"03/16/2013","03","2013","00:59:00","00-01","FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.","No","No","No","No","02 - Automobile","2011","VOLKS","4S","GRAY","WHITE","M"
"07/25/2013","07","2013","11:34:00","11-12","DRIVER WRITING A TEXT MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY","No","No","No","No","02 - Automobile","2011","MERZ","E350","SILVER","OTHER","M"
"05/20/2014","05","2014","15:09:00","15-16","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","01 - Motorcycle","2011","DUCA","MULTISTRADA","WHITE","WHITE","M"
"04/09/2012","04","2012","15:49:00","15-16","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","MAZDA","4DR","","WHITE","M"
"02/25/2015","02","2015","21:28:00","21-22","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","HYUND","SONATA","SILVER","BLACK","M"
"02/25/2015","02","2015","21:28:00","21-22","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","No","No","No","No","02 - Automobile","2011","HYUND","SONATA","SILVER","BLACK","M"
"03/15/2012","03","2012","11:10:00","11-12","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2011","NISSAN","SUV","GRAY","WHITE","F"
"10/10/2012","10","2012","14:00:00","14-15","DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT","No","No","No","No","02 - Automobile","2011","ACUR","RDX","BLACK","WHITE","F"
"04/17/2012","04","2012","20:18:00","20-21","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2011","CHEVY","MALIBU","GRAY","WHITE","F"
"02/18/2014","02","2014","13:42:00","13-14","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH","No","No","No","No","02 - Automobile","2011","CHEVROLET","IMPALA","SILVER","WHITE","M"
"01/23/2012","01","2012","13:41:00","13-14","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","05 - Light Duty Truck","2011","JEEP","GRAND CHEROKEE","WHITE","WHITE","M"
"02/02/2013","02","2013","09:06:00","09-10","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","No","No","No","No","05 - Light Duty Truck","2011","TOYT","RAV4","GRAY","WHITE","M"
"07/01/2014","07","2014","16:20:00","16-17","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","03 - Station Wagon","2011","VOLK","JETTA S/W","WHITE","WHITE","M"
"07/01/2014","07","2014","16:20:00","16-17","DRIVING WRONG WAY--ONE WAY STREET","No","No","No","No","03 - Station Wagon","2011","VOLK","JETTA S/W","WHITE","WHITE","M"
"03/31/2013","03","2013","15:54:00","15-16","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","No","No","No","No","02 - Automobile","2011","HONDA","CRV","BROWN","ASIAN","M"
"03/06/2014","03","2014","08:21:00","08-09","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","LEXUS","IS350","WHITE","BLACK","F"
"02/01/2014","02","2014","17:08:00","17-18","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2011","NISSAN","ROGUE","SILVER","WHITE","F"
"02/01/2014","02","2014","17:08:00","17-18","FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS","No","No","No","No","02 - Automobile","2011","NISSAN","ROGUE","SILVER","WHITE","F"
"04/27/2012","04","2012","08:22:00","08-09","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH","No","No","No","No","02 - Automobile","2011","BUICK","4S","BLUE, DARK","WHITE","F"
"06/09/2014","06","2014","11:15:00","11-12","PERSON DRIVING ON HWY. VEH. WITH VISIBLE BLUE LAMP.","No","No","No","No","02 - Automobile","2011","CHEV","CAMERO","GRAY","BLACK","M"
"05/04/2013","05","2013","00:49:00","00-01","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","No","No","Yes","No","02 - Automobile","2011","FORD","F150","BLUE","BLACK","F"
"04/06/2013","04","2013","20:06:00","20-21","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","No","No","02 - Automobile","2011","FORD","FIESTA","GREEN","WHITE","F"
"03/26/2013","03","2013","20:18:00","20-21","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","05 - Light Duty Truck","2011","CHEVY","SILVERADO","GRAY","WHITE","M"
"02/15/2012","02","2012","21:49:00","21-22","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","No","No","No","No","02 - Automobile","2011","NISS","SENTRA","BLUE","WHITE","M"
"02/24/2014","02","2014","09:45:00","09-10","FAILURE TO ATTACH TEMP. REG. PLATE TO REAR OF VEH.","No","No","No","No","02 - Automobile","2011","HONDA","ACCORD 4S","GRAY","BLACK","M"
"10/12/2012","10","2012","17:37:00","17-18","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2011","SUBARU","OUTBACK","GRAY","WHITE","M"
"05/16/2012","05","2012","00:38:00","00-01","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING","No","No","No","No","02 - Automobile","2011","BMW","4S","SILVER","BLACK","M"
